price,timestamp,name,color
55000,2021-12-30 15:15:31,TerraGroup Labs weapon testing area key,gold
58999,2021-12-30 15:15:31,TerraGroup Labs weapon testing area key,gold
59000,2021-12-30 15:15:31,TerraGroup Labs weapon testing area key,gold
59500,2021-12-30 15:15:31,TerraGroup Labs weapon testing area key,gold
59999,2021-12-30 15:15:31,TerraGroup Labs weapon testing area key,gold
59999,2021-12-30 15:15:31,TerraGroup Labs weapon testing area key,gold
400000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
420000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
422222,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
439999,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
440000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
443410,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
443420,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
444000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
444000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
450000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
470000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
480000,2021-12-30 15:46:55,TerraGroup Labs keycard (Yellow),gold
45999,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
46000,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
46999,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
47000,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
48998,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
48999,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
49900,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
50000,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
54000,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
57000,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
58888,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
59999,2021-12-30 16:56:17,TerraGroup Labs manager's office room key,gold
25000,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
28420,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
29000,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
29999,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
29999,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
30000,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
32000,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
34750,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
35000,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
35000,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
35200,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
35900,2021-12-30 20:08:15,TerraGroup Labs arsenal storage room key,gold
7999969,2021-12-30 20:09:57,TerraGroup Labs keycard (Blue),gold
2850999,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
2888888,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
2999999,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3000000,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3050000,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3090000,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3100000,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3150000,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3199999,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3200000,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3300000,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
3348888,2021-12-30 22:16:44,TerraGroup Labs keycard (Violet),gold
48000,2021-12-30 22:54:14,TerraGroup Labs weapon testing area key,gold
49999,2021-12-30 22:54:14,TerraGroup Labs weapon testing area key,gold
50000,2021-12-30 22:54:14,TerraGroup Labs weapon testing area key,gold
